field1,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,_GC_TYPE,_CLEANADDR,_X,_Y
87,분당서울대학교병원,특수법인,서울대학교병원 설치법,교육부,서울대학교병원,31100813,상급종합병원,1318,13620,경기도 성남시 분당구 구미로 173번길 82,https://www.snubh.org/,031-787-1009,031-787-4020,,정,경기도 성남시 분당구 구미로173번길 82 (구미동),127.1231820305053,37.35191207117647
85,충북대학교병원,특수법인,국립대학병원설치법,교육부,국립대학병원,33100128,상급종합병원,720,28644,충북 청주시 서원구 1순환로 776 충북대학교병원,https://www.cbnuh.or.kr/,043-269-6114,,,정,충청북도 청주시 서원구 1순환로 776 (개신동),127.46144671113463,36.624056801192374
82,전북대학교 치과병원,특수법인,국립대학치과병원 설치법,교육부,국립대학치과병원,35400064,치과병원,0,54907,전라북도 전주시 덕진구 건지로 20,http://dental.cuh.co.kr/,1577-7877,,,정,전북특별자치도 전주시 덕진구 건지로 20 (금암동),127.14121852047934,35.84688391921942
96,광주보훈병원,특수법인,한국보훈복지의료공단법,국가보훈처,한국보훈복지의료공단,36100137,종합병원,584,62284,대구광역시 달서구 월곡로 60,http://daegu.bohun.or.kr/,053-630-7000,053-630-7089,,정,대구광역시 달서구 월곡로 60 (도원동),128.55190478576583,35.8028716511341
88,서울대학교치과병원,특수법인,서울대학교치과병원 설치법,교육부,서울대학교치과병원,11400668,치과병원,40,003-080,서울특별시 종로구 대학로 101,http://www.snudh.or.kr/,02-2072-2655,,,정,서울특별시 종로구 대학로 101 (연건동),126.99893291857164,37.57963952450535
107,국군홍천병원,국립,국군조직법,국방부,해당없음,32200307,병원,230,25164,강원도 홍천군 두촌면 아홉사리로 43,없음,033-435-0473,033-435-2511,,정,강원특별자치도 홍천군 아홉사리로 43 (두촌면),127.99664696524364,37.804286492842884
108,국군강릉병원,국립,국군조직법,국방부,해당없음,32200315,병원,180,25422,강원도 강릉시 주문진읍 동해대로 4371-34,없음,033-662-7802,033-662-5540,,정,강원특별자치도 강릉시 동해대로 4371-34 (주문진읍),128.83097797540307,37.86881750070163
104,국군고양병원,국립,국군조직법,국방부,해당없음,31201555,병원,250,10268,경기도 고양시 덕양구 혜음로 215,없음,031-963-6657,031-914-9902,,정,경기도 고양시 덕양구 혜음로 215 (벽제동),126.8980809189974,37.71937601625905
106,국군춘천병원,국립,국군조직법,국방부,해당없음,32200293,병원,230,24207,강원도 춘천시 방고개길 57번,없음,033-243-0130,033-243-6250,,유,강원특별자치도 춘천시 방고개길 21-12 (신동),127.72978773393217,37.938264618707336
94,한국보훈복지의료공단 부산보훈병원,특수법인,한국보훈복지의료공단법,국가보훈처,한국보훈복지의료공단,21100292,종합병원,546,46996,부산광역시 사상구 백양대로 420,http://busan.bohun.or.kr,051-601-6000,051-601-6079,,정,부산광역시 사상구 백양대로 420 (주례동),129.00662195035022,35.15330262467173
105,국군수도병원,국립,국군조직법,국방부,해당없음,31100759,종합병원,660,13574,경기도 성남시 분당구 새마을로 177번길 81,없음,031-725-5490,031-706-0987,,유,경기도 성남시 분당구 새마을로177번길 66 (율동),127.1510902848095,37.38890073620198
113,육군훈련소 지구병원,국립,국군조직법,국방부,해당없음,34200479,병원,100,320-832,"충남 논산시 연무읍 득안대로 450-8, 사서함76-16호",없음,041-740-7812,,,정,충청남도 논산시 득안대로 450-8 (연무읍),127.09985646499786,36.11087033615865
99,국군부산병원,국립,국군조직법,국방부,해당없음,21201137,병원,260,48067,부산특별시 해운대구 세실로186,없음,051-702-9147,051-703-9147,,대,부산광역시,129.0606703825723,35.211530598858324
111,공군항공우주의료원,국립,국군조직법,국방부,해당없음,33200912,병원,100,363-849,충북 청원군 남일면 단재로 635 사서함 335-21호,없음,043-290-5420,,,대,충청북도 청주시 청원구,127.50921842771814,36.71256004063435
95,한국보훈복지의료공단 대구보훈병원,특수법인,한국보훈복지의료공단법,국가보훈처,한국보훈복지의료공단,37100220,종합병원,498,42835,광주광역시 광산구 첨단월봉로 99,http://gwangju.bohun.or.kr/,062-602-6114,062-602-6980,,정,광주광역시 광산구 첨단월봉로 99 (산월동),126.84966074867795,35.20807038692532
102,국군청평병원,국립,국군조직법,국방부,해당없음,31201521,병원,350,12402,경기도 가평군 청평면 경춘로 926,없음,031-585-6100,031-584-9579,,유,경기도 가평군 경춘로 919 (청평면),127.42624041966745,37.744776782849215
116,해군해양의료원,국립,국군조직법,국방부,해당없음,38200988,병원,160,51698,경남 창원시 진해구 진해대로 963해군해양의료원,없음,055-549-1727,055-547-9437,,유,경상남도 창원시 진해구 진해대로 962 (자은동),128.70688701304252,35.14376439440044
103,국군양주병원,국립,국군조직법,국방부,해당없음,31201547,병원,500,11506,경기도 양주시 은현면 화합로 1133,없음,031-863-1319,031-863-6465,,유,경기도 양주시 화합로 1127 (은현면),127.04115681045533,37.85136313609443
119,대구의료원,특수법인,지방의료원의 설립 및 운영에 관한 법률,대구광역시,지방의료원,37100181,종합병원,544,41845,대구광역시 서구 평리로 157,http://www.daegumc.co.kr,053-560-7575,053-556-4465,,정,대구광역시 서구 평리로 157 (중리동),128.53866070513223,35.85907811913628
122,대구정신병원,시도립,대구광역시 대구정신병원 설치 및 운영에 관한 조례,대구광역시,해당없음,37204491,병원,360,42694,대구광역시 달성군 화원읍 명천로 58,http://www.daegumental.co.kr,053-630-3000,053-632-9233,,정,대구광역시 달성군 명천로 58 (화원읍),128.51005391936468,35.805674002573404
121,대구광역시 서부노인전문병원,시도립,대구광역시 노인전문병원설치.운영조례,대구광역시,해당없음,37280856,요양병원,242,41845,대구광역시 서구 와룡로 298-13번지,http://dgsbgh.daegumc.co.kr,053-570-7575,053-570-7640,,정,대구광역시 서구 와룡로 298-13 (중리동),128.53920537882345,35.85968656831415
100,국군대전병원,국립,국군조직법,국방부,해당없음,34200461,병원,575,34059,대전시 유성구 자운로 90,없음,1688-9152,042-861-8188,,유,대전광역시 유성구 자운로 62 (자운동),127.34692459746353,36.39844695573735
97,대전보훈병원,특수법인,한국보훈복지의료공단법,국가보훈처,한국보훈복지의료공단,34100237,종합병원,398,34314,대전광역시 대덕구 대청로 82번길 147,http://daejeon.bohun.or.kr,042-939-0114,042-934-4401,,정,대전광역시 대덕구 대청로82번길 147 (신탄진동),127.43970901206909,36.44743596967201
109,국군원주의원,국립,국군조직법,국방부,해당없음,32315597,의원,29,26304,강원도 원주시 소초면 북원로 3223번지,없음,033-735-0181,033-735-5074,,유,강원특별자치도 원주시 북원로 3200 (소초면),127.96630726394177,37.42656261435414
120,대구광역시 시지노인전문병원,시도립,대구광역시 노인전문병원설치.운영조례,대구광역시,해당없음,37280104,요양병원,251,42280,대구광역시 수성구 유니버시아드로 365,www.yes-naebumo.or.kr,053-812-1212,053-812-9600,,정,대구광역시 수성구 유니버시아드로 365 (욱수동),128.71031502556738,35.82883516667449
110,백두병원(21사단 의무대),국립,국군조직법,국방부,해당없음,32200781,병원,59,24513,강원도 양구군 양구읍 금강산로 510 백두병원,없음,033-480-5103,,,유,강원특별자치도 양구군 금강산로 509-2 (양구읍),127.99553357874181,38.123718078803826
114,국군함평병원,국립,국군조직법,국방부,해당없음,36200883,병원,500,57116,전남 함평군 해보면 신해로 1027,없음,061-390-5114,061-324-1763,,정,전라남도 함평군 신해로 1027 (해보면),126.59037309619113,35.18324061354631
123,대전광역시립제1노인전문병원,시도립,대전광역시 노인전문병원설치 및 운영조례,대전광역시,해당없음,34280189,요양병원,199,34101,대전광역시 유성구 유성대로 1422(방현동),http://www.ilovenoin.com,042-280-5000,042-280-5001,,정,대전광역시 유성구 유성대로 1422 (방현동),127.37344064288882,36.40509379963883
127,인천적십자병원,특수법인,대한적십자사조직법,보건복지부,대한적십자사,31100261,종합병원,150,21935,인천광역시 연수구 원인재로 263,www.rch.or.kr/incheon,032-899-4000,032-899-4240,,정,인천광역시 연수구 원인재로 263 (연수동),126.68993961547913,37.41842907465417
117,해군포항병원,국립,국군조직법,국방부,해당없음,37200682,병원,120,790-909,경북 포항시 남구 오천읍 충무로 70 사서함 209-141호,없음,054-290-2452,054-290-2405,,유,경상북도 포항시 남구 충무로 64 (오천읍),129.41677754325667,35.97600607450647
132,한국원자력의학원원자력병원,특수법인,방사선 및 방사성동위원소 이용진흥법,미래창조과학부,한국원자력의학원,11101296,종합병원,490,139-706,서울시 노원구 노원로 75,www.kirams.re.kr,02-970-2114,02-978-2005,,정,서울특별시 노원구 노원로 75 (공릉동),127.08302415780722,37.628607244019484
118,국립교통재활병원,국립,자동차손해배상보장법 제31조,국토교통부,해당없음,31209601,병원,174,12564,경기도 양평군 양평읍 중앙로 260,www.cmcntrh.or.kr,031-580-5555,031-580-5209,,정,경기도 양평군 중앙로 260 (양평읍),127.51878480844502,37.48975203262401
130,거창적십자병원,특수법인,대한적십자사조직법,보건복지부,대한적십자사,38200163,병원,96,50132,경상남도 거창군 거창읍 중앙로 91,www.rch.or.kr/geochang,055-944-3251,055-943-2373,,정,경상남도 거창군 중앙로 91 (거창읍),127.90886156220208,35.68668716783613
112,계룡대지구병원,국립,국군조직법,국방부,해당없음,34200487,병원,36,321-929,충남 계룡시 신도안면 부남리 사서함 501-37호,없음,042-550-4758,,,유,충청남도 계룡시 신도안면 부남리 500,127.22365758451807,36.31120561138612
115,국군대구병원,국립,국군조직법,국방부,해당없음,37200674,병원,500,38427,경북 경산시 하양읍 은호리 대경로 425-41,없음,053-750-1716,053-854-0822,,정,경상북도 경산시 대경로 425-41 (하양읍),128.78813823484128,35.90125790824598
131,경인의료재활센터병원,특수법인,"대한적십자사조직법, 장애인복지법","보건복지부, 인천광역시",대한적십자사,31283756,요양병원,110,21935,인천광역시 연수구 원인재로 263,www.rch.or.kr/gyeongin,032-899-4000,032-899-4480,,정,인천광역시 연수구 원인재로 263 (연수동),126.68993961547913,37.41842907465417
133,동남권원자력의학원,특수법인,방사선 및 방사성동위원소 이용진흥법,미래창조과학부,한국원자력의학원,21100624,종합병원,276,619-953,부산광역시 기장군 장안읍 좌동길 40,www.dirams.re.kr,051-720-5114,051-720-5992,,정,부산광역시 기장군 좌동길 40 (장안읍),129.24378470307852,35.32105719495673
124,대전광역시립정신병원,시도립,대전광역시립정신병원 설치조례,대전광역시,해당없음,34200509,병원,199,34206,대전광역시 유성구 진잠옛로 135번길 87(학하동),http://www.ssbw.co.kr/,042-823-4405,,,정,대전광역시 유성구 진잠옛로135번길 87 (학하동),127.30643499030587,36.331958222256695
134,국립법무병원(치료감호소),국립,법무부와 그 소속기관 직제,법무부,해당없음,34282319,병원,0,314-716,충청남도 공주시 반포면 반포초교길 253,www.moj.go.kr/HP/TSPB,041-840-5400,041-840-5404,,정,충청남도 공주시 반포초교길 253 (반포면),127.23830491769907,36.41228360917192
145,국립중앙의료원,특수법인,국립중앙의료원의 설립 및 운영에 관한 법률,보건복지부,국립중앙의료원,11101318,종합병원,466,100-799,서울특별시 중구 을지로 245,www.nmc.or.kr,02-2260-7114,02-2262-4739,,정,서울특별시 중구 을지로 245 (을지로6가),127.00573503267552,37.567659442652555
128,상주적십자병원,특수법인,대한적십자사조직법,보건복지부,대한적십자사,37100408,종합병원,221,37199,경상북도 상주시 상서문로 53,www.rch.or.kr/sangju,054-534-3501,054-530-3000,,정,경상북도 상주시 상서문로 53 (남성동),128.15557592832621,36.414649272440066
129,통영적십자병원,특수법인,대한적십자사조직법,보건복지부,대한적십자사,38200121,병원,110,53061,경상남도 통영시 중앙로 97,www.rch.or.kr/tongyeong,055-644-8901,055-644-8908,,정,경상남도 통영시 중앙로 97 (서호동),128.41984206379945,34.84241309923116
142,국립암센터,특수법인,암관리법,보건복지부,국립암센터,31100741,종합병원,571,410-769,경기도 고양시 일산동구 일산로 323번지,www.ncc.re.kr,1588-8110,031-920-1918,※ 가동병상수 차이 원인 : 옥소치료 2병상은 허가병상 제외,정,경기도 고양시 일산동구 일산로 323 (마두동),126.78335041539059,37.66323080040949
147,부산시립정신병원,시도립,부산광역시립정신병원 설치 및 운영 조례,부산광역시,해당없음,21202818,병원,331,47055,부산광역시 사상구 학감대로 39번길 104-36,www.bmmh.or.kr,051-312-2288,051-313-3399,,정,부산광역시 사상구 학감대로39번길 104-36 (학장동),128.99505091928233,35.132908478264454
125,대전광역시립제2노인전문병원,시도립,대전광역시 노인전문병원설치 및 운영조례,대전광역시,해당없음,34281231,요양병원,132,34712,대전광역시 동구 산내로 300(하소동),http://www.cmisilverdaejeon.com/,042-272-9633,042-272-9636,,정,대전광역시 동구 산내로 300 (하소동),127.44056942995792,36.212533143434115
126,서울적십자병원,특수법인,대한적십자사조직법,보건복지부,대한적십자사,11100109,종합병원,260,003-181,서울특별시 종로구 새문안로 9,www.rch.or.kr/seoul,02-2002-8000,02-738-5664,,정,서울특별시 종로구 새문안로 9 (평동),126.96699118172349,37.56711757974958
146,국립소록도병원,국립,보건복지부와 그 소속기관 직제,보건복지부,해당없음,36200450,병원,700,59562,전남 고흥군 도양읍 소록해안길 65,www.sorokdo.go.kr,061-840-0500,061-840-0517,,정,전라남도 고흥군 소록해안길 65 (도양읍),127.12139527489519,34.511688611443354
139,국립춘천병원,국립,보건복지부와 그 소속기관 직제 시행규칙,보건복지부,해당없음,32200226,병원,320,24409,강원도 춘천시 영서로 824,www.cnmh.go.kr,033-260-3000,033-260-3003,,정,강원특별자치도 춘천시 영서로 824 (동산면),127.76672764987106,37.77147159273166
149,부산노인전문제2병원,시도립,부산광역시 노인전문병원 설치 및 운영 조례,부산광역시,해당없음,21280991,요양병원,188,47527,부산광역시 연제구 월드컵대로 359,www.busangh.or.kr,051-607-2075,051-607-2083,,정,부산광역시 연제구 월드컵대로 359 (거제동),129.05900559625366,35.18721153535136
148,부산노인전문제1병원,시도립,부산광역시 노인전문병원설치 및 운영 조례,부산광역시,해당없음,21280088,요양병원,199,46591,부산광역시 북구 함박봉로 98,www.busangh.co.kr,051-342-7272,051-342-7373,,정,부산광역시 북구 함박봉로 98 (만덕동),129.0282050627645,35.20615103693383
160,서울특별시 북부병원,시도립,서울특별시 시립병원 설치 및 운영에 관한조례,서울특별시,해당없음,11204516,병원,200,002-062,서울특별시 중랑구 양원역로 38,www.seoulnmh.net,02-2036-0200,02-2036-0359,,정,서울특별시 중랑구 양원역로 38 (망우동),127.1078157742996,37.60440132792965
143,국립목포병원,국립,보건복지부와 그 소속기관 직제,보건복지부,해당없음,36200191,병원,204,58605,전라남도 목포시 신지마을 1길 75(석현동 45),http://www.tbmokpo.go.kr,061-280-1114,061-283-2578,,정,전라남도 목포시 신지마을1길 75 (석현동),126.43724979413207,34.82755485285332
140,국립공주병원,국립,보건복지부와 그 소속기관 직제,보건복지부,해당없음,34200762,병원,370,32601,충청남도 공주시 고분티로 623-21,http://www.knmh.go.kr/,041-850-5700,041-853-2095,,정,충청남도 공주시 고분티로 623-21 (오곡동),127.11058574044235,36.40180735449992
157,서울특별시 서울의료원 강남분원,특수법인,지방의료원의 설립 및 운영에 관한 법률,보건복지부(서울특별시),지방의료원,11205768,병원,30,006-171,서울특별시 강남구 봉은사로114길 43,http://kn.seoulmc.or.kr/,02-3430-0200,02-554-2947,,유,서울특별시 강남구 봉은사로114길 42 (삼성동),127.06532740695752,37.51216758193968
162,서울특별시 장애인치과병원,시도립,서울특별시 시립병원 설치 및 운영에 관한조례,서울특별시,해당없음,11400757,치과병원,0,004-706,서울특별시 성동구 마장로 207,http://www.sdh.go.kr/,02-2282-0001,02-2282-0002,,정,서울특별시 성동구 마장로 207 (홍익동),127.03282406100644,37.566649067832785
124,대전광역시립정신병원,시도립,대전광역시립정신병원 설치조례,대전광역시,해당없음,34200509,병원,199,34206,대전광역시 유성구 진잠옛로 135번길 87(학하동),http://www.ssbw.co.kr/,042-823-4403,,,정,대전광역시 유성구 진잠옛로135번길 87 (학하동),127.30643499030587,36.331958222256695
144,국립마산병원,정부기관,보건복지부와 그 소속기관 직제,보건복지부,해당사항 없음,38200074,병원,202,51755,경상남도 창원시 마산합포구 가포로 215,http://www.mnth.go.kr/,055-246-1141,055-242-1135,신축 공사 진행중,정,경상남도 창원시 마산합포구 가포로 215 (가포동),128.5658127875295,35.168612461697904
161,서울특별시 서남병원,시도립,서울특별시 시립병원 설치 및 운영에 관한조례,서울특별시,해당없음,11205814,병원,331,008-049,서울특별시 양천구 신정이펜1로 20(신정동),www.eussh.org,02-6300-9000,02-6300-9136,,정,서울특별시 양천구 신정이펜1로 20 (신정동),126.83318201837085,37.51192088176278
141,국민건강보험공단 일산병원,특수법인,국민건강보험법,보건복지부,국민건강보험공단,31100678,종합병원,746,410-719,경기도 고양시 일산동구 일산로 100,www.nhimc.or.kr,031-900-0114,031-900-0049,,정,경기도 고양시 일산동구 일산로 100 (백석동),126.79308806884768,37.64533345064001
155,서울특별시 은평병원,시도립,서울특별시 시립병원 설치 및 운영에 관한조례,서울특별시,해당없음,11200286,병원,309,003-476,서울특별시 은평구 백련산로 90(응암동),http://ephosp.seoul.go.kr,02-300-8114,02-300-8097,,정,서울특별시 은평구 백련산로 90 (응암동),126.92365088453698,37.594136091847204
154,서울특별시 서북병원,시도립,서울특별시 시립병원 설치 및 운영에 관한조례,서울특별시,해당없음,11200278,병원,452,003-433,서울특별시 은평구 갈현로7길  49,htt://sbhosp.seoul.go.kr/,02-3156-3000,02-385-9393,,정,서울특별시 은평구 갈현로7길 49 (역촌동),126.90453993593171,37.60409255760733
172,인천광역시의료원,특수법인,지방의료원설립및운영에관한법률,인천광역시,해당없음,31100015,종합병원,304,22532,인천광역시 동구 방축로 217,http://www.icmc.or.kr/,032-580-6000,032-583-7746,,정,인천광역시 동구 방축로 217 (송림동),126.66865398699915,37.478796994404426
158,서울특별시 보라매병원,시도립,서울특별시 시립병원 설치 및 운영에 관한조례,서울특별시,해당없음,11100249,종합병원,763,007-061,서울특별시 동작구 보라매로5길 20,http://www.brmh.org,02-870-2114,02-831-0206,,정,서울특별시 동작구 보라매로5길 20 (신대방동),126.9240536336497,37.49357051805616
163,서울특별시 용인정신병원,시도립,서울특별시 시립병원 설치 및 운영에 관한조례,서울특별시,해당없음,31202292,병원,178,17089,경기도 용인시 기흥구 중부대로 940,http://www.yonginmh.co.kr,031-284-4010,031-284-4019,,정,경기도 용인시 기흥구 중부대로 940 (상하동),127.15565814434505,37.25029939533367
164,서울시립 백암정신병원,시도립,서울특별시 시립병원 설치 및 운영에 관한조례,서울특별시,해당없음,31201857,병원,296,17182,경기도 용인시 처인구 백암면 용천로 71번길 30,www.baekammh.or.kr,031-332-3194,031-332-3197,,정,경기도 용인시 처인구 용천로71번길 30 (백암면),127.36483156073683,37.122146236577585
137,국립나주병원,국립,보건복지부와 그 소속기관 직제,보건복지부,해당없음,36200140,병원,450,58213,전라남도 나주시 산포면 세남로 1328-31번지,http://www.najumh.go.kr,061-330-4114,061-330-4150,,정,전라남도 나주시 세남로 1328-31 (산포면),126.82560432261396,35.009035719600554
174,고흥군공립노인전문요양병원,시군구립,고흥군 공립노인전문요양병원 설치 및 운영 조례,전라남도,해당없음,36280437,요양병원,117,59535,전라남도 고흥군 고흥읍 고흥로 1941,http:www.kgh.co.kr,061-830-3400,061-832-1995,,정,전라남도 고흥군 고흥로 1941 (고흥읍),127.29426477430333,34.62267975693442
169,울산광역시립노인병원,시도립,울산광역시립노인병원 설치 및 운영 조례,울산광역시,해당없음,38280221,요양병원,100,689-901,울산광역시 울주군 온양읍 덕남로 243 (동상리),www.ulsangh.co.kr,052-231-7900,052-231-7999,,정,울산광역시 울주군 덕남로 243 (온양읍),129.29759146981914,35.421960393625255
159,서울특별시 동부병원,시도립,서울특별시 시립병원 설치 및 운영에 관한조례,서울특별시,해당없음,11100133,종합병원,204,002-584,서울특별시 동대문구 무학로 124,www.dbhosp.go.kr,02-920-9114,02-920-9219,,정,서울특별시 동대문구 무학로 124 (용두동),127.0315253222473,37.57534774067305
156,서울특별시 서울의료원,특수법인,지방의료원의 설립 및 운영에 관한 법률,보건복지부(서울특별시),지방의료원,11101326,종합병원,623,002-053,서울시 중랑구 신내로 156,http://www.seoulmc.or.kr/,02-2276-7000,02-2276-7093,,정,서울특별시 중랑구 신내로 156 (신내동),127.09822189175867,37.61280720421685
173,인천광역시의료원 백령병원,특수법인,지방의료원설립및운영에관한법률,인천광역시,해당없음,31202098,병원,30,23101,인천광역시 옹진군 백령로 233,http://www.icmc.or.kr/,032-836-1731,032-836-0118,,정,인천광역시 옹진군 백령로 233 (백령면),124.72108710030764,37.967893888253045
167,강남구립행복요양병원,구립,서울특별시 강남구 노인전문병원 설치 및 운영에 관한 조례,서울특별시,해당없음,11282061,요양병원,307,006-366,서울시 강남구 헌릉로 590길 60,http://www.gangnamguhospital.kr,02-6053-2114,02-6053-2119,,정,서울특별시 강남구 헌릉로590길 60 (세곡동),127.10330915446622,37.46121970669121
170,인천시립치매요양병원,시도립,인천광역시립노인치매요양병원 설치 및 운영 조례,인천광역시,해당없음,31280544,요양병원,145,22714,인천광역시 서구 심곡로 132번길 21-1,www.icesh.co.kr,032-562-5101,032-566-4335,,정,인천광역시 서구 심곡로132번길 21-1 (심곡동),126.6852263295169,37.546762041536425
176,광양시공립 노인전문요양병원,시군구립,광양시공립보인전문요양병원설치및운영조례,전라남도,해당없음,36280721,요양병원,141,57773,전라남도 광양시 진등길 91(마동),www.gyghospital.co.kr,061-798-8602,061-792-5604,2014.6(재위탁),정,전라남도 광양시 진등길 91 (마동),127.69010773254138,34.957477689655704
187,화순노인전문병원,시군구립,화순노인전문병원설치 및 운영에 관한 조례,전라남도,해당없음,36281174,요양병원,192,58129,전라남도 화순군 화순읍 서양로 330,www.cnuhgh.com,061-379-6114,061-379-6010,,정,전라남도 화순군 서양로 330 (화순읍),127.00243228926993,35.06175251466096
175,보성군립 노인전문요양병원,시군구립,보성군립 노인전문병원 설치 및 운영에 관한 조례,전라남도,해당없음,36280364,요양병원,133,59431,전라남도 보성군 벌교읍 남하로 4-10,www.sshp.co.kr,061-859-9000,061-857-9001,,정,전라남도 보성군 남하로 4-10 (벌교읍),127.34504460642816,34.83358775056366
166,고양정신병원,시도립,서울특별시 시립병원 설치 및 운영에 관한조례,서울특별시,해당없음,31202543,병원,299,10264,경기 고양시 덕양구 통일로 1102번길 46,http://www.kymhosp.com/,031-969-0885,031-962-2325,,정,경기도 고양시 덕양구 통일로1102번길 46 (내유동),126.85456039104672,37.71148446624801
124,대전광역시립정신병원,시도립,대전광역시립정신병원 설치조례,대전광역시,해당없음,34200509,병원,199,34206,대전광역시 유성구 진잠옛로 135번길 87(학하동),http://www.ssbw.co.kr/,042-823-4401,042-823-4405,,정,대전광역시 유성구 진잠옛로135번길 87 (학하동),127.30643499030587,36.331958222256695
184,여수시 노인전문요양병원,시군구립,여수시노인전문요양병원설치 및 운영조례,전라남도,해당없음,36280704,요양병원,125,59696,전라남도 여수시 둔덕5길 29(471-100번지),http://www.ysss.co.kr/,061-653-9119,061-653-8390,,정,전라남도 여수시 둔덕5길 29 (둔덕동),127.69930414705767,34.764583372243564
171,인천제2시립 노인치매요양병원,시도립,인천광역시시립노인치매요양병원 설치 및 운영 조례,인천광역시,해당없음,31283080,요양병원,103,21002,인천광역시 계양구 드림로 852,http://www.hallymsh.net/,032-554-8300,032-554-8308,,정,인천광역시 계양구 드림로 852 (갈현동),126.72917903282456,37.57480714775244
152,부산노인전문 제4병원,시도립,부산광역시 노인전문병원 설치 및 운영조례,부산광역시,해당없음,21283257,요양병원,216,49415,부산광역시 동매로 44번길 4,부산노인전문제4병원.com,051-202-1370,051-202-2354,,정,부산광역시 사하구 동매로44번길 4 (하단동),128.96282824778925,35.10258470477523
189,완주군아름다운노인전문병원,시군구립,완주군치매요양병원설치운영조례,전라북도,완주군,35280336,요양병원,85,55360,전북 완주군 상관면 북치길 44-54,http;//www.shofbeauty.com,063-717-3300,063-717-3304,,정,전북특별자치도 완주군 북치길 44-54 (상관면),127.22983567644387,35.72979764743161
168,경찰병원,국립,경찰청과 그 소속기관 직제,경찰청,해당없음,11100176,종합병원,289,005-715,서울특별시 송파구 송이로 123,www.nph.go.kr,02-3400-1114,02-3400-1571,,정,서울특별시 송파구 송이로 123 (가락동),127.1234516126469,37.4964257443705
182,전라남도 강진의료원,특수법인,지방의료원의 설립 및 운영에 관한 법률,보건복지부(전라남도),지방의료원,36200271,병원,180,59227,전라남도 강진군 강진읍 탐진로 5번지,www.gimed.or.kr,061-433-2167,061-434-4736,,정,전라남도 강진군 탐진로 5 (강진읍),126.75802619495568,34.636674353780236
202,제주권역재활병원,시도립,장애인복지법,보건복지부(제주특별자치도),해당없음,3920337,병원,98,63590,제주특별자치도 서귀포시 동문로 1,http://www.jrh.or.kr,064-730-9000,064-762-0027,,정,제주특별자치도 서귀포시 동문로 1 (서귀동),126.56244148592957,33.25288371523027
188,참사랑요양병원(함평군공립요양병원),시군구립,함평군공립요양병원 설치및 운영조례,전라남도,해당없음,36281565,요양병원,242,57158,전라남도 함평군 학교면 학교화산길 16-19,www.hp8119.co.kr,061-322-4119,061-322-6119,,정,전라남도 함평군 학교화산길 16-19 (학교면),126.53667716692004,35.04873820305126
185,신안군 노인전문요양병원,시군구립,신안군 공립 노인전문병원 설치 및 운영조례,전라남도,해당없음,36281531,요양병원,80,58824,전라남도 신안군 압해읍 구항길 92-50,없음,061-260-2700,061-260-2704,,정,전라남도 신안군 구항길 92-50 (압해읍),126.31379486703887,34.85313301562145
191,부안군노인요양병원,시군구립,부안군노인전문요양병원설치및운영조례,전라북도,해당없음,35280469,요양병원,113,579-805,전라북도 부안군 부안읍 봉두길 68,없음,063-581-9116,063-581-9369,,정,전북특별자치도 부안군 봉두길 68 (부안읍),126.74503845176741,35.71605670867301
190,전라북도 마음사랑병원,국공립,전라북도 도립병원 설치 및 운영 조례,전라북도,해당없음,35200413,병원,631,55347,전북 완주군 소양면 소양로 465-23,http://www.maeumsarang.co.kr,063-240-2100,063-240-2117,,정,전북특별자치도 완주군 소양로 465-23 (소양면),127.25529468501873,35.86037531365994
181,전라남도 순천의료원,특수법인,지방의료원의 설립 및 운영에 관한 법률,보건복지부(전라남도),지방의료원,36200328,병원,272,57940,전라남도 순천시 서문성터길 2,http://jsmc.or.kr,061-759-9114,061-752-7683,,정,전라남도 순천시 서문성터길 2 (매곡동),127.48321651721643,34.957922949013664
135,국립재활원,국립,보건복지부와 그 소속기관 직제,보건복지부,해당없음,11202483,병원,298,001-022,서울특별시 강북구 삼각산로 58 국립재활원,http://www.nrc.go.kr,02-901-1700,02-902-3763,,정,서울특별시 강북구 삼각산로 58 (수유동),127.01108806670348,37.63861092954451
199,제주특별자치도 제주의료원,특수법인,지방의료원의 설립 및 운영에 관한 법률,보건복지부(제주특별자치도),지방의료원,39200205,병원,200,63243,제주특별자치도 제주시 산천단 남길 10,http://www.jejumed.com,064-720-2107,064-724-2102,,정,제주특별자치도 제주시 산천단남길 10 (아라일동),126.56085570444048,33.4448553935692
186,장성공립 노인전문요양병원,시군구립,장성군공립노인전문요양병원설치 및 운영조례,전라남도,해당없음,36280828,요양병원,168,57221,전라남도 장성군 장성읍 강변안길 100 (기산리 489-5),www.jsgh.or.kr,061-395-1170,061-395-1174,,정,전라남도 장성군 강변안길 100 (장성읍),126.77744840598359,35.30231471979742
183,곡성군립 노인전문요양병원,시군구립,곡성군립노인전문병원설치 및 운영조례,전라남도,해당없음,36280712,요양병원,130,57515,전라남도 곡성군 겸면 곡순로 1756번지,http://www.gshospital.kr/,061-360-9000,061-363-6020,,정,전라남도 곡성군 곡순로 1756 (겸면),127.18426626900553,35.25310342706114
